íîìåð;ãîðîä;íàñåëåíèå
186;À÷èíñê;50.3
187;Òèõîðåöê;49.7
188;Áîðîâè÷è;49.5
189;Ðæåâ;49.0
190;Àëüìåòüåâñê;48.6
191;Áåëîãîðñê;48.6
192;Ïàðòèçàíñê;48.5
193;Óñîëüå-Ñèáèðñêîå;48.5
194;Åññåíòóêè;48.0
195;Òàâäà;48.0
196;Ïàâëîâî;47.9
197;Èøèì;47.8
198;Õèìêè;47.8
199;Äåðáåíò;47.3
200;Àëàïàåâñê;47.1
201;Ãóáàõà;47.1
202;Ïîëåâñêîé;47.1
203;Èøèìáàé;46.6
204;Þðãà;46.6
205;Ðàìåíñêîå;46.5
206;Àëåêñèí;46.3
207;Æèãóë¸âñê;46.1
208;Êóøâà;46.1
209;Ïóøêèí;45.6
210;Ìîí÷åãîðñê;45.5
211;Ù¸êèíî;45.5
212;Èðáèò;45.3
213;Èíòà;45.2
214;Êàðïèíñê;45.2
215;Âîñêðåñåíñê;44.8
216;Êóëåáàêè;44.1
217;Ñàòêà;43.1
218;Áðàòñê;43.0
219;Áóãóðóñëàí;42.5
220;Áîð;42.0
221;Êëèíöû;42.0
222;Ëàáèíñê;41.9
223;Òóëóí;41.8
224;Æóêîâñêèé;41.7
225;Ñîêîë;41.7
226;×åðêåññê;41.7
227;Àðçàìàñ;41.5
228;Êèìðû;41.2
229;Ìàðèèíñê;40.8
230;Áèðîáèäæàí;40.7
231;Êèðîâñê;40.5
232;Âûêñà;40.3
233;Êðîíøòàäò;40.3
234;Ñòóïèíî;40.3
235;Ìèíåðàëüíûå_Âîäû;40.1
236;Àçîâ;39.9
237;Êðàñíûé Ñóëèí;39.9
238;Áàðàáèíñê;39.8
239;Íåâèííîìûññê;39.8
240;Âÿçíèêè;39.7
241;Æåëåçíîäîðîæíûé;39.6
242;Ñïàññê-Äàëüíèé;39.6
243;Êèìîâñê;39.5
244;Ìîðøàíñê;39.4
245;Êðàñíîóðàëüñê;39.3
246;Ñëàâÿíñê-íà-Êóáàíè;39.0
247;Íèæíåóäèíñê;38.8
248;Ëåíèíîãîðñê;38.6
249;Çèìà;38.5
250;Ìèíóñèíñê;38.3
251;Ôóðìàíîâ;38.2
252;Êîëü÷óãèíî;37.9
253;Ëèñêè;37.6
254;Ðîñëàâëü;37.4
255;Âåðõíÿÿ_Ñàëäà;37.3
256;Êðàñíîóôèìñê;37.3
257;Êàíäàëàêøà;37.1
258;Âåëèêèé_Óñòþã;37.0
259;Àëàòûðü;36.9
260;Âåðõíèé_Óôàëåé;36.9
261;Àëåêñàíäðîâ;36.7
262;Ãàò÷èíà;36.7
263;Òóàïñå;36.7
264;Âîëõîâ;36.6
265;Àøà;36.5
266;Òîáîëüñê;36.5
267;Ìåäíîãîðñê;36.3
268;Óõòà;36.1
269;Áàëàêîâî;36.0
270;Áåëîðå÷åíñê;35.9
271;Íàðî-Ôîìèíñê;35.4
272;Äîíåöê;35.3
273;Ñëàíöû;35.3
274;Êðàñíîãîðñê;35.2
275;Ãåîðãèåâñê;35.1
276;Ñàëüñê;35.0
277;Òîðæîê;34.9
278;Àðò¸ìîâñêèé;34.8
279;Êîëïèíî;34.8
280;Çàîç¸ðíûé;34.7
281;Ìèõàéëîâêà;34.6
282;Êûçûë;34.5
283;Ãðÿçè;34.4
284;Äìèòðîâ;34.4
285;Èñêèòèì;34.3
286;Õàñàâþðò;34.2
287;Íîâîàëòàéñê;33.9
288;Òàéãà;33.9
289;Îêòÿáðüñê;33.8
290;Ðàññêàçîâî;33.8
291;Åìàíæåëèíñê;33.6
292;Êàðòàëû;33.5
293;Òàéøåò;33.5
294;Âîëæñê;33.4
295;Áóéíàêñê;33.0
296;Êàíàø;32.9
297;Êîðñàêîâ;32.9
298;Êðûìñê;32.8
299;Ïóãà÷¸â;32.7
300;Ðòèùåâî;32.7
301;Êèíåëü;32.4
302;Ëåñîçàâîäñê;32.1
303;Ñîâåòñê;31.9
304;Óðþïèíñê;31.8
305;Ñàôîíîâî;31.7
306;Âÿçüìà;31.6
307;Êàøèðà;31.6
308;Õîëìñê;31.5
309;Ìûñêè;31.2
310;Áîãîòîë;30.9
311;Èâàíòååâêà;30.9
312;Êóìåðòàó;30.9
313;Ïîëûñàåâî;30.9
314;×åáàðêóëü;30.9
315;Òàòàðñê;30.8
316;Áåð¸çîâñêèé;30.6
317;Ïå÷îðà;30.6
318;Íåâüÿíñê;30.5
319;Âåðõíÿÿ_Ïûøìà;30.4
320;Êóéáûøåâ;30.4
321;Áîëîãîå;30.3
322;Äîíñêîé;30.3
323;Êûøòûì;30.3
324;Ñëîáîäñêîé;30.3
325;Ãóðüåâñê;30.2
326;Ðîññîøü;30.2
327;Óñòü-Ëàáèíñê;30.2
328;Øóìåðëÿ;30.2
329;Êàìåíü-íà-Îáè;30.1
330;Êàìûøëîâ;30.1
331;Íèêîëàåâñê-íà-Àìóðå;30.1
332;Àáäóëèíî;30.0
333;Ìèëëåðîâî;30.0
334;Ìîæãà;30.0
335;Ïóøêèíî;30.0
336;Áîãîðîäñê;29.9
337;Àïøåðîíñê;29.8
338;Áàëàõíà;29.8
339;Ïåòðîâñê-Çàáàéêàëüñêèé;29.8
340;Íàçàðîâî;29.7
341;Êëèìîâñê;29.5
342;Áàêàë;29.4
343;Ðîäíèêè;29.3
344;Ðîñòîâ;29.2
345;×åðíÿõîâñê;29.1
346;Áåðäñê;29.0
347;Óãëè÷;28.9
348;Áàëåé;28.8
349;Ñèáàé;28.8
350;Åôðåìîâ;28.7
351;Êèðîâî-×åïåöê;28.7
352;Îñòðîãîæñê;28.4
353;Áîãîðîäèöê;28.3
354;Òåéêîâî;28.3
355;Ãðåìÿ÷èíñê;28.0
356;Áóä¸ííîâñê;27.9
357;Êàñèìîâ;27.9
358;Îòðàäíûé;27.9
359;Àòêàðñê;27.8
360;Âñåâîëîæñê;27.8
361;Äîìîäåäîâî;27.7
362;Òàøòàãîë;27.7
363;Êîòåëüíè÷;27.6
364;Îõà;27.6
365;Ïðîõëàäíûé;27.6
366;Ãîðíî-Àëòàéñê;27.5
367;Ëîìîíîñîâ;27.5
368;Ñòàðûé Îñêîë;27.5
369;Äåãòÿðñê;27.4
370;Áóé;27.2
371;Ðàé÷èõèíñê;27.2
372;Ãîðîäåö;27.0
373;Ìîðîçîâñê;27.0
374;Áåæåöê;26.9
375;Èëàíñêèé;26.7
376;Êàëòàí;26.6
377;Íåëèäîâî;26.5
378;Ñåâåðîìîðñê;26.5
379;Ëþäèíîâî;26.4
380;Ôðîëîâî;26.4
381;Àðñåíüåâ;26.3
382;Ñëàâãîðîä;26.3
383;Áåëåáåé;26.2
384;Ñåðäîáñê;26.1
385;Íîâîçûáêîâ;25.9
386;Ñåâåðîóðàëüñê;25.9
387;Âÿòñêèå Ïîëÿíû;25.7
388;Ñîâåòñêàÿ Ãàâàíü;25.7
389;Òîïêè;25.7
390;Êèçëÿð;25.6
391;Ìîçäîê;25.6
392;Ïëàñò;25.6
393;ßðöåâî;25.6
394;Êîòîâñê;25.5
395;Ëóãà;25.5
396;Áîëîòíîå;25.4
397;Äàëüíåðå÷åíñê;25.4
398;Ñòàðàÿ_Ðóññà;25.4
399;Äîëãîïðóäíûé;25.3
400;Êàìåíêà;25.2
401;Êàñïèéñê;25.2
402;Ñåñòðîðåöê;25.2
403;Ëûòêàðèíî;25.1
404;Ïåòðîâñê;25.0
405;Êàðàáàø;24.9
406;Ðóçàåâêà;24.9
407;Áèðñê;24.8
408;Âîë÷àíñê;24.8
409;Îç¸ðû;24.8
410;Îìóòíèíñê;24.8
411;Àñèíî;24.7
412;Ëèêèíî-Äóë¸âî;24.6
413;Àëåéñê;24.5
414;Êñòîâî;24.4
415;Êóðãàíèíñê;24.3
416;Ðåóòîâ;24.3
417;Ñâåòëîãðàä;24.3
418;Ñîëíå÷íîãîðñê;24.2
419;Ëèâíû;23.9
420;Áîðçÿ;23.7
421;Ñóõîé_Ëîã;23.7
422;Êèðîâ;23.6
423;Áåëàÿ_Êàëèòâà;23.5
424;Óæóð;23.5
425;Òóéìàçû;23.4
426;Êóïèíî;23.2
427;Ñåâåðî-Çàäîíñê;23.2
428;Ýëèñòà;23.2
429;Èñèëüêóëü;23.1
430;Ïåðåñëàâëü-Çàëåññêèé;23.1
431;Ïîõâèñòíåâî;23.1
432;Óñòü-Êàòàâ;23.1
433;Þæà;23.1
434;Âåðåùàãèíî;22.9
435;Êèðîâãðàä;22.7
436;Êîëïàøåâî;22.6
437;Íåðåõòà;22.3
438;Øàðüÿ;22.3
439;Àëåêñàíäðîâñê-Ñàõàëèíñêèé;22.2
440;Íÿçåïåòðîâñê;22.2
441;Åëàáóãà;22.0
442;Èâäåëü;22.0
443;Ïðèìîðñêî-Àõòàðñê;22.0
444;Òåìðþê;22.0
445;Áåð¸çîâñêèé;21.9
446;Êàñëè;21.8
447;Êóäûìêàð;21.8
448;Êóñà;21.8
449;Ðîøàëü;21.8
450;Íÿíäîìà;21.7
451;Ïåòåðãîô;21.7
452;Þæíîóðàëüñê;21.7
453;Ïîðîíàéñê;21.6
454;Ñîëü-Èëåöê;21.6
455;Óÿð;21.6
456;Êóâàíäûê;21.4
457;Íèæíÿÿ_Ñàëäà;21.4
458;Ñëþäÿíêà;21.4
459;Ãàâðèëîâ-ßì;21.3
460;Ãóáêèí;21.3
461;Ëüãîâ;21.3
462;Îíåãà;21.3
463;Ðåæ;21.3
464;Óñòü-Êóò;21.3
465;Øàõóíüÿ;21.3
466;Ñâèðñê;21.2
467;×åðåïàíîâî;21.2
468;Ñêîïèí;21.0
469;Çàðàéñê;20.7
470;Ñàñîâî;20.7
471;Õàíòû-Ìàíñèéñê;20.7
472;Êàòàâ-Èâàíîâñê;20.6
473;Òàðà;20.6
474;Ñîáèíêà;20.5
475;Áîêñèòîãîðñê;20.4
476;Ñîðòàâàëà;20.4
477;Àãðûç;20.3
478;Êîõìà;20.3
479;Îäèíöîâî;20.3
480;Õàäûæåíñê;20.2
481;ßëóòîðîâñê;20.2
482;Àëåêñååâêà;20.1
483;Çàâîëæüå;20.0
484;Êàðàñóê;20.0
485;Çóåâêà;19.9
486;Ñåì¸íîâ;19.8
487;Âåðõíÿÿ_Òóðà;19.7
488;Íåâåëüñê;19.7
489;Ñåãåæà;19.7
490;Þðüåâåö;19.7
491;Ñûñåðòü;19.6
492;Òîãó÷èí;19.6
493;Øàòóðà;19.6
494;Äåäîâñê;19.5
495;Êðàñíîçàâîäñê;19.5
496;Îñòàøêîâ;19.5
497;Áåñëàí;19.4
498;Äÿòüêîâî;19.4
499;Ëèïêè;19.4
500;Ñîðî÷èíñê;19.4
501;Øóìèõà;19.4
502;Ïîâîðèíî;19.3
503;Íûòâà;19.2
504;Áîãäàíîâè÷;19.1
505;Ôðÿçèíî;19.1
506;Àëåêñàíäðîâñê;19.0
507;Êàëà÷èíñê;19.0
508;Êðàñíîñëîáîäñê;19.0
509;Îêóëîâêà;19.0
510;Ñòðóíèíî;19.0
511;Òèìàø¸âñê;19.0
512;Êðàñíîàðìåéñê;18.8
513;Íèæíÿÿ_Òóðà;18.8
514;Òóðèíñê;18.8
515;×åõîâ;18.8
516;Íîâîàííèíñêèé;18.7
517;Ïðèâîëæñê;18.7
518;Ãóäåðìåñ;18.6
519;Èíçà;18.6
520;Àíàïà;18.5
521;Áèêèí;18.5
522;Êåìü;18.4
523;Òèõâèí;18.4
524;Åðøîâ;18.3
525;Êîðåíîâñê;18.2
526;×óëûì;18.2
527;Âàëóéêè;18.1
528;Êàðàáàíîâî;18.1
529;Êèðæà÷;18.1
530;Âÿçåìñêèé;18.0
531;Áàðûø;17.9
532;Äàëüíåãîðñê;17.9
533;Êèðååâñê;17.9
534;Ìàëîÿðîñëàâåö;17.9
535;Óãëåãîðñê;17.9
536;Ìåëåóç;17.8
537;Íîâàÿ_Ëÿëÿ;17.8
538;Îñòðîâ;17.7
539;Øèìàíîâñê;17.7
540;Êîòåëüíèêîâî;17.6
541;Ïîäïîðîæüå;17.6
542;Ëîäåéíîå_Ïîëå;17.5
543;Ìåëåíêè;17.5
544;Áàëòèéñê;17.4
545;Ñàëàèð;17.3
546;Þðþçàíü;17.3
547;Áåë¸â;17.2
548;Òóòàåâ;17.2
549;Äàâëåêàíîâî;17.1
550;Åíèñåéñê;17.0
551;Õâàëûíñê;17.0
552;Âåëüñê;16.9
553;Äàíèëîâ;16.9
554;Êàëà÷;16.9
555;Íîâîàëåêñàíäðîâñê;16.9
556;Ïèêàë¸âî;16.9
557;Òàëèöà;16.9
558;Øèëêà;16.8
559;Þðüåâ-Ïîëüñêèé;16.8
560;Êàëà÷-íà-Äîíó;16.7
561;Ëîñèíî-Ïåòðîâñêèé;16.7
562;Êèðñàíîâ;16.6
563;Ïàâëîâñê;16.6
564;Ñàëåõàðä;16.6
565;Ùåðáèíêà;16.6
566;Ãåëåíäæèê;16.5
567;Óíå÷à;16.5
568;Êóðîâñêîå;16.4
569;Íàçûâàåâñê;16.4
570;Äóäèíêà;16.3
571;Ìàíòóðîâî;16.3
572;Íîâîäâèíñê;16.3
573;Îáíèíñê;16.3
574;ßõðîìà;16.3
575;Êàøèí;16.2
576;Ëûñêîâî;16.2
577;Ãàëè÷;16.1
578;Êîíäîïîãà;16.1
579;Ìàëàÿ_Âèøåðà;16.1
580;Ñîêîëüíèêè;16.1
581;Íàáåðåæíûå_×åëíû;16.0
582;Ñåìèêàðàêîðñê;15.9
583;Çàâèòèíñê;15.8
584;Ìåäâåæüåãîðñê;15.8
585;Ñîñíîãîðñê;15.8
586;Ñõîäíÿ;15.8
587;Âîëãîäîíñê;15.7
588;Ãóëüêåâè÷è;15.7
589;Ìîæàéñê;15.7
590;Çåðíîãðàä;15.6
591;Õèëîê;15.6
592;Äîáðÿíêà;15.5
593;Çàâîëæñê;15.5
594;Êðàñíîâèøåðñê;15.5
595;Âåðõíèé_Òàãèë;15.4
596;Ìèíüÿð;15.4
597;Íèêîëüñê;15.4
598;Íîâîêóáàíñê;15.4
599;Æåðäåâêà;15.3
600;Îáëó÷üå;15.3
601;Àïàòèòû;15.2
602;Àõòóáèíñê;15.2
603;Ñêîâîðîäèíî;15.1
604;Ñðåòåíñê;15.1
605;Òîñíî;15.1
606;Àêñàé;15.0
607;Áëàãîäàðíûé;14.9
608;Îáü;14.9
609;Àðêàäàê;14.8
610;Áåëîìîðñê;14.8
611;Äîëèíñê;14.8
612;Êðàñíûé_Êóò;14.8
613;Ðÿæñê;14.8
614;Àëàãèð;14.7
615;Ìîãî÷à;14.7
616;Ñîâåòñê;14.7
617;Áîäàéáî;14.6
618;Íåâåëü;14.6
619;Ïî÷åï;14.5
620;Àïðåëåâêà;14.4
621;Èâàíãîðîä;14.4
622;Êèðåíñê;14.4
623;Òûðíûàóç;14.4
624;Èãàðêà;14.3
625;Ìöåíñê;14.3
626;Õîòüêîâî;14.3
627;Âèäíîå;14.2
628;Ãóñåâ;14.2
629;Ìóðàøè;14.2
630;Íèæíèå_Ñåðãè;14.2
631;Ïåñòîâî;14.2
632;Ñîñíîâêà;14.1
633;Ñóâîðîâ;14.1
634;Î÷¸ð;14.0
635;Ýëåêòðîóãëè;14.0
636;Ãîðíÿê;13.9
637;Çìåèíîãîðñê;13.9
638;Ìàëãîáåê;13.9
639;Íèæíèé_Ëîìîâ;13.9
640;Ïðèîç¸ðñê;13.9
641;Ñèì;13.9
642;Øåáåêèíî;13.9
643;Ëåñîñèáèðñê;13.8
644;Íàâîëîêè;13.8
645;Åìâà;13.7
646;Çàêàìåíñê;13.7
647;Êîíàêîâî;13.7
648;Ìàêóøèíî;13.7
649;Êóâøèíîâî;13.5
650;Íåð÷èíñê;13.5
651;Îòðàäíîå;13.5
652;Êàìáàðêà;13.4
653;Ìàêàðîâ;13.4
654;Íåÿ;13.4
655;Áèðþñèíñê;13.3
656;Áóòóðëèíîâêà;13.3
657;Ïåðâîìàéñê;13.3
658;Õàðîâñê;13.3
659;Âîëîäàðñê;13.2
660;Äíî;13.2
661;Êàëèíèíñê;13.2
662;Ëóçà;13.2
663;Íàðüÿí-Ìàð;13.2
664;Àðò¸ìîâñê;13.1
665;Êîíäðîâî;13.1
666;Êðàñíîàðìåéñê;13.1
667;Ìàðêñ;13.1
